Unnamed: 0,product_title,star_rating,review_body
0,Apple iPhone 12 (128GB) - White,5,"This was my first switch to an ios device after using an android untill now. And I am not disappointed. The build quality, the responsive touch, the display, the camera, the battery life are just exceptional.Been using for about 10 days now, and consistently giving around 7h of screen on time.The camera is just way too good. Espeecially the night mode impressed me a lot.Only issue when switching from Android to iPhone I encountered was to be not able to restore my whatsapp chats. There are no official/free ways for doing this.The phone is simple amazing."
1,Apple iPhone 12 (128GB) - White,1,The media could not be loaded.                  Bad experience! I have purchased Iphone from Amazon before as well but this time the activation of new iphone 12 failed when I was setting it up. I tried contacting Apple support but the serial number mentioned on the box was invalid. I really don't know if it is a counterfeit product or there is some technical issue but one thing is sure that Apple's Website is not recognising the IMEI and serial Number of new Iphone 12 I bought from here
2,Apple iPhone 12 (128GB) - White,4,"I am writing this review after 40 days of use of iPhone 12. phone camera is excellent like DSLR ,very fast processor ,face ID feature looks great ,overall everything is fine but only issue which this phone has is , battery draining too fast. You can use 100% battery only for 5-6 hours of continuous use after that you have to charge it. Apple should look into this."
3,Apple iPhone 12 (128GB) - White,5,Same like the old classic iphone 5 lookBut now difference is only6.1 inch display or The A 14 bionic chipAnd oled Hd display
4,Apple iPhone 12 (128GB) - White,1,"Device is wonderful but never buy expensive items from Amazon, its better to purchase from Apple store.Delayed delivery by 3 days and on top of it no one in amazon knows where my device was. I have to perform multiple follow ups to enquire about my device and Amazon CSR is worst when it comes to logging a complaint.The final product received is having a dent and Amazon denied servicing and asked to check with Apple, Apple of-course denied since the product is purchased from third party e-commerce website.Lesson learned after 5 days of total frustration and being played as shuttlecock between Amazon and Apple, its better to spend few bucks more and purchase iPhone from Apple rather than typing this review with a dented device."
5,Apple iPhone 12 (128GB) - White,5,"The media could not be loaded.                  I was litterly worried before getting it delivered, as my delivery was late, I thought they will be some golmal on product, but I got the original product which I was expecting.. pls go n buy, don't get panic by seeing reviews.. I'm very excited with my new phone.. battery life is also good. Face is awesomepart and camera quality at picks... best deal for this independence day 😍🤩"
6,Apple iPhone 12 (128GB) - White,5,"Its my First Apple device. Happy to own it after a long confusion between iPhone 11 and 12. I believe, it was worth waiting for 12.Received it on 04-Nov-2020. Working well till now. Checked Service Support Coverage. Its a genuine product.AndiPhone in white color is legend.Update after 1 month approx.-----------------------------------After using it for a month I am in love with this phone. Too smooth and I forgot what is lagging...Battery backup is very good and lasts one and half day easily with normal usage. I charge my phone when the battery is around 30%. Battery health is 100% after a month.Camera is awesome and gives very nicely detailed pictures with true colors.Phone speakers are really great and warm. They are loud but don't shout. Listening music or watching videos are enjoyable without earphones too.4G speed better than other 4g phones I have.Worth every penny."
7,Apple iPhone 12 (128GB) - White,1,"Bought an iPhone 12 during ongoing freedom sale and I received a defective piece as the phone has tiny dents around the charging port. I tried returning it but there’s no option to replace or return.  Don’t know what to do, stuck with it after spending 62 K."
8,Apple iPhone 12 (128GB) - White,5,"Amazing iPhone, worthy updatehave to buy a type-c supported charging adaptor for charginggood displaydecent battery lifenice night clicksoverall worthy upgrade from classic iPhonebuy apple original 20w adaptor for charging, it fill battery faster than any other adaptor"
9,Apple iPhone 12 (128GB) - White,5,"Upgraded for iPhone XR. Battery lasts almost the same as XR but iPhone adapts as per usage over time so it will take time. Which anyways it lasts me for around 1.5 day with normal use and data services and location services always on. Do check the YouTube video to make necessary changes in settings for battery optimisation. Nothing beats the camera performance and let alone the video performance. Phone factor (rectangular edges) feels good to hold however even the MagSafe back cover when put on ruins the fun. Instead try buying a thin screen guard for back of the phone and tempered glass for the front glass as both front and back of the phone seem to be delicate and a costly affair when planning repairs. Overall the performance is great. The backup for Mini is pathetic, buy only if you have very minimal use of the phone. If a telephoto photography doesn’t seem to be on your agenda then this is a smart choice over the pro model."
10,Apple iPhone 12 (128GB) - White,5,Great battery life. Love the white colour. Blue is super hyped. It is a finger print magnet.There’s something about the design of these phones. No android phone can match the aesthetics. Except some curved display screens.Upgraded from iPhone 8. I am very very happy.Wish it was a bit cheaper. Bought with 6k instant hdfc discount and 6 months no cost emi.128gb.
11,Apple iPhone 12 (128GB) - White,5,The media could not be loaded.                  This is first time I’m switching from android to iOSIt is just amazingBatter life is awesome
12,Apple iPhone 12 (128GB) - White,1,Overall mobile is good but found blue spots on side and upper frame. This is not expected from Amazon. This is my worst order experience with Amazon. Really disappointing!
13,Apple iPhone 12 (128GB) - White,1,"The media could not be loaded.                  I got this iphone 12 defected peace from amazone , so i contact to amazone support but they refuse to replace the item and suggested me to go in apple service centre to repair this issue .So finally i went to the service centre and they helped me and take my phone for 7-8 days for screen replacement, but at the end i got my phone with replaced screen and now its working fine.Note - the product service centre service is good , but sorry i can’t say the same for amazon support ."
